1,2,3,4
1,1,1,34.5
1,1,2,34.5
1,1,3,34.5
1,1,4,34.5
1,1,5,34.5
1,2,1,32.72
1,2,2,32.72
1,2,3,32.72
1,2,4,32.72
1,2,5,32.72
1,3,1,21.99
1,3,2,21.99
1,3,3,21.99
1,3,4,21.99
1,3,5,21.99
2,1,1,29.59
2,1,2,29.59
2,1,3,29.59
2,1,4,29.59
2,1,5,29.59
2,2,1,29.57
2,2,2,29.57
2,2,3,29.57
2,2,4,29.57
2,2,5,29.57
2,3,1,30.81
2,3,2,30.81
2,3,3,30.81
2,3,4,30.81
2,3,5,30.81
