started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-08-01 02:27:43.853000+00:00,2019-08-01 02:39:45.808000+00:00,721,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856,885,Wester Coates Terrace,Corner of Wester Coates Terrace & Roseburn Terrace,55.9456092,-3.231715619
2019-08-01 03:42:02.937000+00:00,2019-08-01 03:47:21.211000+00:00,318,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856,882,EICC,Between planters next to EICC,55.94604282,-3.210484908
2019-08-01 04:59:52.680000+00:00,2019-08-01 05:06:54.904000+00:00,422,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315
2019-08-01 05:03:56.890000+00:00,2019-08-01 05:19:03.876000+00:00,906,1025,Dundee Terrace,,55.9397099,-3.220588934,264,Pollock Halls,Pollock Halls Entrance,55.93996347,-3.171585934
2019-08-01 05:31:50.917000+00:00,2019-08-01 05:45:05.054000+00:00,794,877,Murrayfield Avenue,Corner of Murrayfield Avenue & Murrayfield Place,55.94632179,-3.23654233,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999
2019-08-01 05:31:51.462000+00:00,2019-08-01 05:36:27.727000+00:00,276,359,Causewayside,Causewayside outside NLS,55.93642988,-3.180114904,265,Meadows East,Melville Terrace,55.93980947,-3.182738851
2019-08-01 05:32:20.251000+00:00,2019-08-01 05:34:55.386000+00:00,155,359,Causewayside,Causewayside outside NLS,55.93642988,-3.180114904,265,Meadows East,Melville Terrace,55.93980947,-3.182738851
2019-08-01 05:45:27.264000+00:00,2019-08-01 06:27:08.939000+00:00,2501,882,EICC,Between planters next to EICC,55.94604282,-3.210484908,257,Portobello,Edinburgh Leisure Tumbles Centre,55.95700431,-3.116888119
2019-08-01 05:48:54.321000+00:00,2019-08-01 06:01:51.140000+00:00,776,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503981,-3.176686415,248,Bristo Square,"Bristo Square, near Potterrow",55.94583372,-3.189053072
2019-08-01 06:35:06.454000+00:00,2019-08-01 06:48:57.520000+00:00,831,881,Tollcross,Outside Piccolino,55.9442807,-3.202964359,884,IGMM,IGMM at Western General Hospital,55.96248693,-3.232031328
2019-08-01 06:36:48.708000+00:00,2019-08-01 06:57:51.038000+00:00,1262,887,Roseburn Street,Corner of Roseburn Street & Russell Gardens,55.94446626,-3.234541218,183,Waverley Bridge,near the top of the South ramp,55.9513444,-3.191420999
2019-08-01 06:42:39.532000+00:00,2019-08-01 07:04:47.268000+00:00,1327,253,Kings Building 2,Sanderson Building,55.92320216,-3.171646245,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676649,-3.202037829
2019-08-01 06:48:43.945000+00:00,2019-08-01 07:45:30.782000+00:00,3406,265,Meadows East,Melville Terrace,55.93980947,-3.182738851,882,EICC,Between planters next to EICC,55.94604282,-3.210484908
2019-08-01 06:49:13.273000+00:00,2019-08-01 07:45:20.997000+00:00,3367,265,Meadows East,Melville Terrace,55.93980947,-3.182738851,882,EICC,Between planters next to EICC,55.94604282,-3.210484908
2019-08-01 06:51:39.058000+00:00,2019-08-01 07:00:35.112000+00:00,536,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508277,-3.223634264,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676649,-3.202037829
2019-08-01 06:52:51.561000+00:00,2019-08-01 07:03:03.557000+00:00,611,290,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871,-3.20643533,248,Bristo Square,"Bristo Square, near Potterrow",55.94583372,-3.189053072
2019-08-01 06:57:41.137000+00:00,2019-08-01 07:14:44.879000+00:00,1023,366,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592063,-3.191346079,259,St Andrew Square,North East corner,55.95490573,-3.192443757
2019-08-01 06:59:18.099000+00:00,2019-08-01 07:04:56.493000+00:00,338,259,St Andrew Square,North East corner,55.95490573,-3.192443757,868,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094447,-3.201386994
2019-08-01 07:00:04.943000+00:00,2019-08-01 07:06:39.560000+00:00,394,366,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592063,-3.191346079,262,Canonmills,near Tesco's,55.96280409,-3.196283585
2019-08-01 07:04:13.027000+00:00,2019-08-01 07:16:24.881000+00:00,731,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856559,-3.208070182
2019-08-01 07:10:41.734000+00:00,2019-08-01 07:39:53.992000+00:00,1752,248,Bristo Square,"Bristo Square, near Potterrow",55.94583372,-3.189053072,1026,Constitution Street,Next to Burns Statue,55.97544143,-3.166806411
2019-08-01 07:10:43.601000+00:00,2019-08-01 07:27:00.366000+00:00,976,870,Hillside Crescent,East corner of Hillside Crescent & London Road,55.9577928,-3.175798619,882,EICC,Between planters next to EICC,55.94604282,-3.210484908
2019-08-01 07:13:22.470000+00:00,2019-08-01 07:32:59.703000+00:00,1177,873,Corstorphine Road,Outside Forestry & Land Scotland,55.94174288,-3.271484361,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172
2019-08-01 07:14:07.435000+00:00,2019-08-01 07:31:06.714000+00:00,1019,264,Pollock Halls,Pollock Halls Entrance,55.93996347,-3.171585934,259,St Andrew Square,North East corner,55.95490573,-3.192443757
2019-08-01 07:14:30.088000+00:00,2019-08-01 07:30:54.167000+00:00,984,1025,Dundee Terrace,,55.9397099,-3.220588934,868,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094447,-3.201386994
2019-08-01 07:15:32.161000+00:00,2019-08-01 07:33:47.770000+00:00,1095,870,Hillside Crescent,East corner of Hillside Crescent & London Road,55.9577928,-3.175798619,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335693,-3.209247502
2019-08-01 07:16:27.930000+00:00,2019-08-01 07:32:46.020000+00:00,978,251,Waverley Station,Platform level near Calton Road Exit,55.95264104,-3.187526919,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715,-3.174126319
2019-08-01 07:26:32.245000+00:00,2019-08-01 07:30:29.670000+00:00,237,290,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871,-3.20643533,881,Tollcross,Outside Piccolino,55.9442807,-3.202964359
2019-08-01 07:27:38.774000+00:00,2019-08-01 07:34:25.367000+00:00,406,366,Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592063,-3.191346079,262,Canonmills,near Tesco's,55.96280409,-3.196283585
2019-08-01 07:28:19.255000+00:00,2019-08-01 07:48:21.856000+00:00,1202,1025,Dundee Terrace,,55.9397099,-3.220588934,254,Kings Building 3,Kings Building House,55.92347881,-3.175384585
2019-08-01 07:30:01.321000+00:00,2019-08-01 07:48:02.152000+00:00,1080,251,Waverley Station,Platform level near Calton Road Exit,55.95264104,-3.187526919,1026,Constitution Street,Next to Burns Statue,55.97544143,-3.166806411
2019-08-01 07:30:13.359000+00:00,2019-08-01 07:53:19.371000+00:00,1386,356,East London Street,Outside St. Mary's Primary School,55.95994339,-3.187329202,254,Kings Building 3,Kings Building House,55.92347881,-3.175384585
